Surname,First name,OU Computer Username,Personal Identifier,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00,Q. 11 /1.00,Q. 12 /1.00,Q. 13 /1.00,Q. 14 /1.00,Q. 15 /1.00,Q. 16 /1.00,Q. 17 /1.00,Q. 18 /1.00,Q. 19 /1.00,Q. 20 /1.00
b7a1c60935d72dd330a48021b25ec0c4,34f9e4c9be637c99f9b2cfb3f5d1994c,b675bd4a9a46ec179a894866ad80b71d,ec0b15df629ce1fc564462e81ba6b267,,,b3d15cf86ba4dbbafa458124c09ca816,Finished,29 Jan 2016  06:56, 8 Feb 2016  10:31,10 days 3 hours,17.44,1.00,1.00,1.00,1.00,0.89,0.89,1.00,1.00,1.00,0.00,0.89,1.00,1.00,1.00,0.89,1.00,1.00,1.00,0.89,0.00
8933e77b83eee991c3d3aae3c88b8176,d3d2792b4f002c766a99bb7152ccf3ee,5759a8752ba4984049c0be67c7a6270f,7f30f4954957eb71909d7ec30ccb0e0a,,,ff9114a689c8e5141f46cf1386b5ba9d,Finished,29 Jan 2016  09:14,30 Jan 2016  22:10,1 day 12 hours,19.78,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,1.00
aa8af604652b6b631f11061fe8c69809,ec83707bbca209e51a65e9864ac8baeb,b8fe6559c9ba7bd27819a5460c9359c8,4e74dca9c74ad198eeb162dac5193d9e,,,ec01fe85557bab32113d8fbb47b0685d,Finished,29 Jan 2016  11:16,29 Jan 2016  11:57,40 mins 12 secs,19.69,1.00,1.00,1.00,1.00,0.89,1.00,0.92,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
615bbea6dd8739d5aea38087d86175ea,19f2b4e849a31f6f0c43781e40fe14a5,18f13b6a9d7fccaf6b4ee35e380f3da2,94a997d5af26916f52f3a8bc4c88cc89,,,860dd783e86cac9751dde00e1319c9b9,Finished,29 Jan 2016  12:08,29 Jan 2016  12:51,42 mins 46 secs,19.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.89,0.78,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
615bbea6dd8739d5aea38087d86175ea,19f2b4e849a31f6f0c43781e40fe14a5,18f13b6a9d7fccaf6b4ee35e380f3da2,94a997d5af26916f52f3a8bc4c88cc89,,,860dd783e86cac9751dde00e1319c9b9,In progress,29 Jan 2016  12:51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
f2e29b6dc252b243a626b0d8c44e1608,de425c58493063ed07bcc28a0b7d8e40,ebad0a4f525401d570ae6af382244b74,9cbbf8c73e350590adc27b89268eacc6,,,8ef21cebedf1f002552adf07f7e32e1f,Finished,29 Jan 2016  14:36,31 Jan 2016  21:55,2 days 7 hours,15.36,1.00,1.00,0.67,0.00,0.78,0.78,0.42,1.00,1.00,0.89,1.00,0.89,1.00,1.00,0.67,1.00,1.00,0.67,0.44,0.17
1b4a4ba779ce44b1d2ce658bbd199c14,7130f665bca85623df6944f349e4080f,b17eb52dd4e580b58e100385d233f43f,764a7ed54722cc17343ce5ef34cbb0b7,,,6deb878c8a8c61dbd6ab30ff5e257c34,In progress,29 Jan 2016  16:03,-,-,-,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
fe0a1584a31c05fc75c52f7fd539fc0c,ac6e926ec3ef752a634271124d6328e7,564b23a00ad9052da59f54f1c3c56c8e,28ef47c2253e325c478698287ece1029,,,22704ac9f42eeb956e3b72c8243c255c,Finished,29 Jan 2016  22:07,29 Jan 2016  22:51,44 mins 16 secs,19.28,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,0.50
30980b2fb07ed808cb3051478b70b90a,20da7fea76e213605f496197123f39b5,c4a020b82ae1befc54d4d4ddea0bf7c9,fe7e29fd384043493ba66f8d0f46e488,,,0f4e551688fbbcc09f4d5cd8e3841aec,Finished,30 Jan 2016  07:30,28 Feb 2016  20:29,29 days 12 hours,15.08,1.00,1.00,0.33,1.00,0.89,0.89,0.92,0.89,1.00,0.56,0.89,0.44,0.67,0.33,0.44,1.00,1.00,0.67,0.67,0.50
1209bb7c8834eac267c8c79c7cf0adb0,4360e2dcc2592270feb9da346e64a495,4d59ddec2fe415e72c133d6e4ed8ae74,cd0618a9ae302e56f5e5d151378e6e58,,,0dfbd8431e881fef15fd6785ad8c2f4d,Finished,30 Jan 2016  13:28,30 Jan 2016  13:44,16 mins 6 secs,19.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
